step,epoch,loss
1,0.125,4.4297051429748535
2,0.25,4.733590602874756
3,0.375,4.242126941680908
4,0.5,3.0901389122009277
5,0.625,2.950376510620117
6,0.75,2.5025277137756348
7,0.875,2.465772867202759
8,1.0,2.163957357406616
9,1.125,1.7461377382278442
10,1.25,1.6720105409622192
11,1.375,1.7003576755523682
12,1.5,1.662414789199829
13,1.625,1.283577799797058
14,1.75,1.2618739604949951
15,1.875,1.2284196615219116
16,2.0,1.2512320280075073
17,2.125,1.2407132387161255
18,2.25,1.1050941944122314
19,2.375,1.0473248958587646
20,2.5,1.1046475172042847
21,2.625,0.8821192979812622
22,2.75,0.8335795998573303
23,2.875,1.0038647651672363
24,3.0,0.984679639339447
