step,epoch,loss
1,0.0625,4.710095405578613
2,0.125,4.468901634216309
3,0.1875,4.258340358734131
4,0.25,3.4857089519500732
5,0.3125,3.063469409942627
6,0.375,2.7339279651641846
7,0.4375,2.5404396057128906
8,0.5,2.0701258182525635
9,0.5625,1.9262593984603882
10,0.625,1.920231580734253
11,0.6875,1.8363456726074219
12,0.75,1.578469157218933
13,0.8125,1.4811327457427979
14,0.875,1.3368799686431885
15,0.9375,1.1241745948791504
16,1.0,1.046778917312622
17,1.0625,1.070501685142517
18,1.125,0.8585490584373474
19,1.1875,1.0049461126327515
20,1.25,0.6570315361022949
21,1.3125,0.9669610261917114
22,1.375,0.7180038094520569
23,1.4375,0.6462031602859497
24,1.5,0.7310327887535095
25,1.5625,0.9916076064109802
26,1.625,0.7006807923316956
27,1.6875,0.7712455987930298
28,1.75,0.8293827772140503
29,1.8125,0.5202924609184265
30,1.875,0.7128730416297913
31,1.9375,0.5334705114364624
32,2.0,0.571945071220398
33,2.0625,0.4954213500022888
34,2.125,0.4423081576824188
35,2.1875,0.4878796637058258
36,2.25,0.5279055237770081
37,2.3125,0.5426545143127441
38,2.375,0.560375452041626
39,2.4375,0.49189212918281555
40,2.5,0.571411669254303
41,2.5625,0.4179483652114868
42,2.625,0.5192447304725647
43,2.6875,0.6148494482040405
44,2.75,0.6691563129425049
45,2.8125,0.490018755197525
46,2.875,0.5046593546867371
47,2.9375,0.4761548638343811
48,3.0,0.3782780170440674
