step,epoch,loss
1,0.03125,4.369904518127441
2,0.0625,4.521947860717773
3,0.09375,4.280358791351318
4,0.125,4.259669303894043
5,0.15625,3.348839044570923
6,0.1875,2.81125545501709
7,0.21875,2.6255245208740234
8,0.25,2.253382444381714
9,0.28125,2.296142578125
10,0.3125,2.134476900100708
11,0.34375,1.6617671251296997
12,0.375,1.72689688205719
13,0.40625,1.563396692276001
14,0.4375,1.5451747179031372
15,0.46875,1.531937837600708
16,0.5,1.1797200441360474
17,0.53125,1.2186064720153809
18,0.5625,1.3300764560699463
19,0.59375,0.9575704336166382
20,0.625,0.9595504403114319
21,0.65625,0.6985492706298828
22,0.6875,1.0658726692199707
23,0.71875,0.7930030226707458
24,0.75,0.7612226009368896
25,0.78125,0.7239559292793274
26,0.8125,0.6843295097351074
27,0.84375,0.687198281288147
28,0.875,0.8651620745658875
29,0.90625,0.5699880123138428
30,0.9375,0.516209065914154
31,0.96875,0.9460694789886475
32,1.0,0.7274526953697205
33,1.03125,0.49040061235427856
34,1.0625,0.49369531869888306
35,1.09375,0.6058833599090576
36,1.125,0.366410493850708
37,1.15625,0.5094636082649231
38,1.1875,0.46516409516334534
39,1.21875,0.3970065712928772
40,1.25,0.4839467406272888
41,1.28125,0.41789186000823975
42,1.3125,0.7392818927764893
43,1.34375,0.2956610918045044
44,1.375,0.5668098330497742
45,1.40625,0.4317520558834076
46,1.4375,0.43384966254234314
47,1.46875,0.41372600197792053
48,1.5,0.4201682209968567
49,1.53125,0.27266696095466614
50,1.5625,0.3675331771373749
51,1.59375,0.38260528445243835
52,1.625,0.30781325697898865
53,1.65625,0.4929145276546478
54,1.6875,0.4729001224040985
55,1.71875,0.6006151437759399
56,1.75,0.5180015563964844
57,1.78125,0.21708224713802338
58,1.8125,0.54695063829422
59,1.84375,0.289773553609848
60,1.875,0.3826031982898712
61,1.90625,0.47491392493247986
62,1.9375,0.4340614080429077
63,1.96875,0.6162620782852173
64,2.0,0.3648447096347809
65,2.03125,0.2618562877178192
66,2.0625,0.2546048164367676
67,2.09375,0.30634379386901855
68,2.125,0.30759960412979126
69,2.15625,0.30207231640815735
70,2.1875,0.29444798827171326
71,2.21875,0.3844034671783447
72,2.25,0.19399996101856232
73,2.28125,0.33074286580085754
74,2.3125,0.21180769801139832
75,2.34375,0.22995346784591675
76,2.375,0.25454723834991455
77,2.40625,0.36612236499786377
78,2.4375,0.2839784026145935
79,2.46875,0.3632012903690338
80,2.5,0.46702805161476135
81,2.53125,0.3345249891281128
82,2.5625,0.3245099186897278
83,2.59375,0.23182739317417145
84,2.625,0.24071282148361206
85,2.65625,0.2644881308078766
86,2.6875,0.15262426435947418
87,2.71875,0.23708181083202362
88,2.75,0.266938716173172
89,2.78125,0.23536214232444763
90,2.8125,0.1981269270181656
91,2.84375,0.30714496970176697
92,2.875,0.27562156319618225
93,2.90625,0.23341333866119385
94,2.9375,0.32523685693740845
95,2.96875,0.27898848056793213
96,3.0,0.15360137820243835
