step,epoch,loss
1,0.125,4.4297051429748535
2,0.25,4.733590602874756
3,0.375,4.2362189292907715
4,0.5,3.0720107555389404
5,0.625,2.8608057498931885
6,0.75,2.5113141536712646
7,0.875,2.458794593811035
8,1.0,2.164914608001709
9,1.125,1.7485414743423462
10,1.25,1.6743037700653076
11,1.375,1.6966419219970703
12,1.5,1.6477363109588623
13,1.625,1.281160593032837
14,1.75,1.2467272281646729
15,1.875,1.2143610715866089
16,2.0,1.129278302192688
17,2.125,1.2253327369689941
18,2.25,1.068171739578247
19,2.375,1.0384190082550049
20,2.5,1.1038490533828735
21,2.625,0.8817797303199768
22,2.75,0.7405140399932861
23,2.875,0.9950277805328369
24,3.0,0.990871787071228
