step,epoch,loss
1,0.03125,4.767837047576904
2,0.0625,4.438372611999512
3,0.09375,4.418344974517822
4,0.125,4.316160678863525
5,0.15625,3.4926788806915283
6,0.1875,3.034759759902954
7,0.21875,2.7282328605651855
8,0.25,2.3668441772460938
9,0.28125,2.182572603225708
10,0.3125,1.850726842880249
11,0.34375,1.3818111419677734
12,0.375,1.637126088142395
13,0.40625,1.6020370721817017
14,0.4375,1.4625434875488281
15,0.46875,1.2854690551757812
16,0.5,1.183409571647644
17,0.53125,1.335537075996399
18,0.5625,0.8757041096687317
19,0.59375,0.7118964791297913
20,0.625,0.7367656826972961
21,0.65625,0.9686595797538757
22,0.6875,0.8709843158721924
23,0.71875,0.8292932510375977
24,0.75,0.9239444136619568
25,0.78125,0.6641018390655518
26,0.8125,0.6394879221916199
27,0.84375,0.7036786079406738
28,0.875,0.9958726763725281
29,0.90625,0.6436222791671753
30,0.9375,0.5556818246841431
31,0.96875,0.6819047331809998
32,1.0,1.3868372440338135
33,1.03125,0.46478331089019775
34,1.0625,0.4800468385219574
35,1.09375,0.5320597887039185
36,1.125,0.3190774619579315
37,1.15625,0.533210813999176
38,1.1875,0.36422017216682434
39,1.21875,0.7672168016433716
40,1.25,0.3609682023525238
41,1.28125,0.49191609025001526
42,1.3125,0.5697823762893677
43,1.34375,0.29832106828689575
44,1.375,0.3420763909816742
45,1.40625,0.4817506968975067
46,1.4375,0.5118149518966675
47,1.46875,0.36781275272369385
48,1.5,0.29503798484802246
49,1.53125,0.3152077794075012
50,1.5625,0.26023608446121216
51,1.59375,0.2895723879337311
52,1.625,0.3091641068458557
53,1.65625,0.35313817858695984
54,1.6875,0.46581023931503296
55,1.71875,0.19701354205608368
56,1.75,0.31671473383903503
57,1.78125,0.22812634706497192
58,1.8125,0.3565783202648163
59,1.84375,0.2202126681804657
60,1.875,0.412757009267807
61,1.90625,0.36766529083251953
62,1.9375,0.45434248447418213
63,1.96875,0.3134748637676239
64,2.0,0.4837707281112671
65,2.03125,0.20730382204055786
66,2.0625,0.2775017321109772
67,2.09375,0.14324428141117096
68,2.125,0.2804196774959564
69,2.15625,0.22028833627700806
70,2.1875,0.1761908084154129
71,2.21875,0.1806543618440628
72,2.25,0.2506251037120819
73,2.28125,0.43338412046432495
74,2.3125,0.35519543290138245
75,2.34375,0.21600191295146942
76,2.375,0.22570714354515076
77,2.40625,0.30401039123535156
78,2.4375,0.2433205097913742
79,2.46875,0.31692758202552795
80,2.5,0.1877935826778412
81,2.53125,0.3096122443675995
82,2.5625,0.18164192140102386
83,2.59375,0.12591098248958588
84,2.625,0.18036241829395294
85,2.65625,0.23567204177379608
86,2.6875,0.17262136936187744
87,2.71875,0.3039270341396332
88,2.75,0.2972867488861084
89,2.78125,0.3736359179019928
90,2.8125,0.17677906155586243
91,2.84375,0.2225271612405777
92,2.875,0.26821112632751465
93,2.90625,0.17044535279273987
94,2.9375,0.3009904623031616
95,2.96875,0.20512931048870087
96,3.0,0.5785357356071472
