step,epoch,loss
1,0.0625,4.554232597351074
2,0.125,4.739460468292236
3,0.1875,4.25223970413208
4,0.25,3.5016262531280518
5,0.3125,3.1133086681365967
6,0.375,2.4757256507873535
7,0.4375,2.202639102935791
8,0.5,2.2372097969055176
9,0.5625,1.8055719137191772
10,0.625,1.9605425596237183
11,0.6875,1.6908636093139648
12,0.75,1.5829163789749146
13,0.8125,1.7984428405761719
14,0.875,1.5620936155319214
15,0.9375,1.3081008195877075
16,1.0,1.1119190454483032
17,1.0625,1.142200231552124
18,1.125,0.9290836453437805
19,1.1875,0.9822887182235718
20,1.25,0.8528784513473511
21,1.3125,0.9606199264526367
22,1.375,0.8157285451889038
23,1.4375,0.7196465730667114
24,1.5,0.8288172483444214
25,1.5625,0.8254743218421936
26,1.625,0.6627591848373413
27,1.6875,0.8601657748222351
28,1.75,0.8985113501548767
29,1.8125,0.7321204543113708
30,1.875,0.4828270673751831
31,1.9375,0.6544151902198792
32,2.0,0.6784665584564209
33,2.0625,0.5247024893760681
34,2.125,0.4659458100795746
35,2.1875,0.5367494821548462
36,2.25,0.7790690064430237
37,2.3125,0.6379137635231018
38,2.375,0.535593569278717
39,2.4375,0.4840465486049652
40,2.5,0.576127290725708
41,2.5625,0.4859468936920166
42,2.625,0.5256288647651672
43,2.6875,0.6172807812690735
44,2.75,0.7867118120193481
45,2.8125,0.46957069635391235
46,2.875,0.4205855429172516
47,2.9375,0.47487524151802063
48,3.0,0.3747606873512268
